Colab links,
,
Odometer (1),https://colab.research.google.com/drive/1hhMPOUAOwMGaqWV3eHr3pMSgjCQYZ31o?usp=sharing
Yahtzee (2),
Yahtzee code (3),https://colab.research.google.com/drive/1LrPAvQcGp35BwqxAzo7RoVwbZu6Tx38V?usp=sharing
Text generation (4),https://colab.research.google.com/drive/13Jo7-0hCABpxYE6j3YhVovguwnZdPCeW?usp=sharing
Shannon-Fano Encoding (5),https://colab.research.google.com/drive/1077whgTAEk8xh286Qc3JTVCtm0zNuDwT?usp=sharing
