Genai-transcripts,
,
Odometer (1),https://www.notion.so/Odometer-97f82da687c34120970ff4f8a97cf605?pvs=4
Yahtzee (2),https://www.notion.so/Yahtzee-game-7e69ead4e7804818a8d2f898d7521a5a?pvs=4
Yahtzee code (3),https://www.notion.so/Yahtzee-code-and-test-cases-4d73b9ec6102431895304409af1c0ca1?pvs=4
Text generation (4),https://www.notion.so/Text-generation-Markov-chain-74c8d8094d8246babaa55bba7d9a4bd9?pvs=4
